0,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
0,0
1,1056
2,1181
3,1113
4,1000
5,1000
6,911
7,939
8,863
9,914
10,875
11,846
12,792
13,808
14,755
15,776
16,776
17,731
18,729
19,685
20,665
21,673
22,669
23,650
24,680
25,700
26,658
27,650
28,653
29,602
30,623
31,587
32,641
33,623
34,606
35,579
36,596
37,576
38,556
39,593
40,577
41,604
42,559
43,581
44,547
45,587
46,541
47,591
48,562
49,572
50,575
51,561
52,567
53,571
54,543
55,500
56,551
57,567
58,542
59,558
60,508
61,568
62,559
63,562
64,542
65,552
66,534
67,550
68,581
69,582
70,609
71,573
72,554
73,541
74,541
75,553
76,568
77,570
