0,0
0,0
1,2264
2,2256
3,2194
4,2698
5,1926
6,1831
7,2492
8,1969
9,1975
10,1804
11,1821
12,1775
13,1807
14,1792
15,1799
16,1706
17,1661
18,1569
19,1815
20,1514
21,1450
22,1613
23,1465
24,1527
25,1454
26,1443
27,1380
28,1296
29,1321
30,1320
31,1257
32,1221
33,1170
34,1130
35,1153
36,1192
37,1133
38,1195
39,1181
40,1178
41,1187
42,1111
43,1077
44,962
45,1044
46,1136
47,937
48,967
49,879
50,916
51,884
52,948
53,873
54,963
55,848
56,971
57,916
58,960
59,934
60,868
61,877
62,854
63,840
64,891
65,862
66,813
67,872
68,832
69,884
70,838
71,774
72,767
73,853
74,830
75,795
76,817
77,797
78,746
79,821
80,806
81,779
82,752
83,758
84,793
85,792
86,774
87,799
88,786
89,772
90,798
91,839
92,805
93,849
94,828
95,855
96,803
97,843
98,848
99,814
100,848
101,830
102,860
103,842
0,0
1,23
2,14
3,14
4,18
5,20
6,32
7,20
8,30
9,22
10,20
11,26
12,30
13,34
14,42
15,40
16,44
17,56
18,44
19,42
20,50
21,44
22,56
23,40
24,36
25,38
26,38
27,38
28,40
29,44
30,50
31,42
32,52
33,44
0,0
1,44
2,44
3,52
4,48
5,58
6,54
7,66
8,62
9,80
10,78
11,104
12,78
13,68
14,74
15,80
16,88
17,96
18,92
19,86
20,82
21,68
22,60
23,46
24,36
25,24
26,20
27,16
