0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
2,0
3,0
4,4
5,0
6,9
7,2
8,16
9,1
10,10
11,0
12,24
13,8
14,19
15,10
16,28
17,22
18,20
19,18
20,21
21,34
22,33
23,34
24,18
25,36
26,20
27,24
28,19
29,34
30,34
31,44
32,28
33,44
34,22
35,46
36,31
37,38
38,36
39,31
40,36
41,58
42,40
43,62
44,36
45,69
46,28
47,67
48,33
49,47
50,30
51,42
52,29
53,75
54,46
55,42
56,44
57,68
58,32
59,29
60,44
61,40
62,47
63,48
64,48
65,50
66,58
67,51
68,44
69,62
70,40
71,60
72,40
73,58
74,38
75,38
76,28
77,34
78,40
79,56
80,65
81,64
82,80
83,44
84,96
85,30
86,56
87,46
88,62
89,48
90,56
91,40
92,30
93,64
94,32
95,40
96,70
97,38
98,36
99,34
100,32
101,52
102,46
103,50
104,36
105,38
106,50
107,28
108,66
109,24
110,96
111,28
112,90
113,44
114,100
115,62
116,92
117,66
118,30
119,38
120,30
121,54
122,46
123,38
124,58
125,42
126,38
127,34
128,28
129,90
130,38
131,58
132,40
133,36
134,56
135,66
136,72
137,96
138,66
139,98
140,72
141,62
142,40
143,58
144,70
145,36
146,46
147,16
148,120
149,56
150,74
151,59
152,50
153,38
154,52
155,58
156,48
157,60
158,66
159,46
160,72
161,60
162,30
163,36
164,38
165,28
166,22
167,32
168,30
169,32
170,28
171,14
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
